category,extra_name,main_name,price,subcategory,unit_price
Hus og hjem,"1,8m, 1 stk",USB-A til USB-C-kabel,"kr 199,90",Kontor,"kr 199,90 per stk"
Hus og hjem,20 stk,Bjørkepinner til Pinnekjøtt,"kr 34,00",Engangs og Servietter,"kr 1,70 per stk"
Hus og hjem,50 stk,Muffinsformer Design,"kr 37,20",Engangs og Servietter,"kr 0,74 per stk"
Hus og hjem,40 stk,Servietter røde,"kr 24,90",Engangs og Servietter,"kr 0,62 per stk"
Tørkepapir og vaskemidler,"Gra, 1 stk",Oppvaskunderlag,"kr 79,90",Oppvask,"kr 79,90 per stk"
Tørkepapir og vaskemidler,1 stk,Rengjøringsmiddel keramisk topp,"kr 49,90",Oppvask,"kr 49,90 per stk"
"Shampo, såpe og hudpleie",1 stk,Moisture+ Botanical Green Tea Day Cream,"kr 71,80",Hudpleie,"kr 71,80 per stk"
"Shampo, såpe og hudpleie",1 stk,Moisture+ Botanical Rose Floral Water Day Cream,"kr 67,60",Hudpleie,"kr 67,60 per stk"
"Shampo, såpe og hudpleie",1 stk,Argan Rescue Balm Garnier Bio,"kr 103,00",Hudpleie,"kr 103,00 per stk"
"Shampo, såpe og hudpleie",1 stk,Cornflower Micellar Water Garnier Bio,"kr 82,20",Hudpleie,"kr 82,20 per stk"
"Shampo, såpe og hudpleie",1 stk,Lavendin Oil Garnier Bio,"kr 123,80",Hudpleie,"kr 123,80 per stk"
"Shampo, såpe og hudpleie",1 stk,Lavender Firming Eye Contour Garnier  Bio,"kr 123,80",Hudpleie,"kr 123,80 per stk"
Tørkepapir og vaskemidler,"Flytende, 595 ml",Omo Ultra Hvitt,"kr 57,80",Klesvask,"kr 3,40 per vask"
Tørkepapir og vaskemidler,"Flytende Refill, 490 ml",Omo Color,"kr 42,70",Klesvask,"kr 3,05 per vask"
Tørkepapir og vaskemidler,"Flytende Refill, 490 ml",Omo Ultra Hvitt,"kr 44,90",Klesvask,"kr 3,21 per vask"
Tørkepapir og vaskemidler,16 vask,Omo Color Trippel Dose,"kr 64,00",Klesvask,"kr 4,00 per vask"
Tørkepapir og vaskemidler,16 vask,Omo Ultra Trippel Dose,"kr 59,50",Klesvask,"kr 3,72 per vask"
Tørkepapir og vaskemidler,"Flytende, 595 ml",Blenda Sensitive Tøyvaskemiddel,"kr 60,80",Klesvask,"kr 102,18 per l"
Tørkepapir og vaskemidler,1 l,Flytende Vask Color,"kr 38,10",Klesvask,"kr 38,10 per l"
Tørkepapir og vaskemidler,1 l,Flytende Vask Hvitt,"kr 40,10",Klesvask,"kr 40,10 per l"
